doctor_id,first_name,last_name,specialty,department,license_number,phone_number,email,office_number,current_doctor
23,Chloe,Perez,OB-GYN,Womens Health Department,LIC51092,610-555-8891,cperez@medportal.com,Room 205,1
24,Matthew,Roberts,Radiology,Radiology Unit,LIC83741,610-555-7711,mroberts@medportal.com,Room 506,1
25,Aria,Turner,Anesthesiology,Anesthesia Services,LIC68910,484-555-3821,aturner@medportal.com,Room 309,1
26,Samuel,Phillips,Pain Management,Pain Center,LIC33492,215-555-5544,sphillips@medportal.com,Room 455,1
27,Victoria,Campbell,Infectious Disease,Infectious Disease Department,LIC31002,610-555-1322,vcampbell@medportal.com,Room 127,1
28,Joseph,Parker,Orthopedic Trauma,Trauma Wing,LIC84211,484-555-9982,jparker@medportal.com,Room 515,1
29,Sofia,Evans,Genetics,Genetics Clinic,LIC22914,610-555-6619,sevans@medportal.com,Room 330,1
30,David,Edwards,Thoracic Surgery,Thoracic Unit,LIC90914,215-555-4822,dedwards@medportal.com,Room 621,1
31,Penelope,Collins,Rehabilitation Medicine,Rehab Wing,LIC60012,484-555-5612,pcollins@medportal.com,Room 116,1
32,Josephine,Ramirez,Otolaryngology,ENT Department,LIC78441,610-555-8844,jramirez@medportal.com,Room 440,1
33,Elijah,Howard,Plastic Surgery,Plastic and Reconstructive,LIC39921,215-555-8273,ehoward@medportal.com,Room 703,1
34,Nora,Bryant,Geriatrics,Geriatric Center,LIC71202,484-555-2344,nbryant@medportal.com,Room 144,1
35,Andrew,Foster,Sports Medicine,Sports Injury Clinic,LIC50112,610-555-4433,afoster@medportal.com,Room 402,1
36,Riley,Simmons,Pediatric Surgery,Pediatric Surgery Unit,LIC23421,610-555-8890,rsimmons@medportal.com,Room 507,1
37,Levi,Gomez,Psychiatry,Psychiatry Department,LIC91721,215-555-2812,lgomez@medportal.com,Room 219,1
38,Skylar,Diaz,Neuropsychology,Neuropsychology Clinic,LIC44321,484-555-1892,sdiaz@medportal.com,Room 132,1
39,Wyatt,Hughes,Urgent Care,Immediate Care Center,LIC22094,610-555-9022,whughes@medportal.com,Room 101,1
40,Zoe,Price,Medical Oncology,Cancer Treatment Center,LIC55902,215-555-9133,zprice@medportal.com,Room 508,1
41,Landon,Reed,Hospitalist,Inpatient Services,LIC33310,610-555-5521,lreed@medportal.com,Room 350,1
42,Ellie,Bell,Reproductive Endocrinology,Fertility Clinic,LIC67021,610-555-7719,ebell@medportal.com,Room 221,1
43,Julian,Cook,Endocrine Surgery,Endocrine Surgery Unit,LIC90441,484-555-3133,jcook@medportal.com,Room 456,1
44,Stella,Gray,Palliative Care,Palliative Services,LIC31102,484-555-1208,sgray@medportal.com,Room 217,1
45,Nathan,Jenkins,Intensive Care,Critical Care Unit,LIC78110,215-555-0991,njenkins@medportal.com,Room ICU-2,1
46,Aurora,Watson,Public Health,Community Health Division,LIC25544,484-555-9133,awatson@medportal.com,Room 121,1
47,Christopher,Brooks,Trauma Surgery,Trauma Operating Wing,LIC89214,610-555-9001,cbrooks@medportal.com,Room 623,1
48,Hannah,Reyes,Speech Pathology,Speech and Language Department,LIC67112,610-555-3141,hreyes@medportal.com,Room 213,1
49,Aiden,Myers,Hospice Medicine,Hospice Care Unit,LIC98832,215-555-4332,amyers@medportal.com,Room 129,1
50,Emma,Stevens,Cardiology,Heart Center,LIC44121,610-555-9011,estevens@medportal.com,Room 240,1
